iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,icu_patients,hosp_patients,people_vaccinated,people_fully_vaccinated,total_boosters,stringency_index,population,excess_mortality,new_cases_clean,new_deaths_clean,new_cases_7day,new_deaths_7day,incidence_7day_per_100k,deaths_7day_per_100k,cfr_percent,new_cases_log,people_vaccinated_per_100,people_fully_vaccinated_per_100,boosters_per_100,wave
DEU,Europe,Germany,2022-07-15,29129765.0,0.0,145696.0,0.0,1.07,1221.0,,64756995.0,63419272.0,57669503.0,11.11,83369840,,0.0,0.0,89907.0,100.28571428571429,754.8880986217558,0.8420311230056337,0.5001619477534405,11.406542204264717,77.67436641356154,76.0698017412532,69.17310024824324,Decline
DEU,Europe,Germany,2022-07-16,29129765.0,0.0,145696.0,0.0,1.07,1228.0,,64757667.0,63420071.0,57684405.0,11.11,83369840,,0.0,0.0,89907.0,100.28571428571429,754.8880986217558,0.8420311230056337,0.5001619477534405,11.406542204264717,77.67517246044852,76.07076012140601,69.19097481775184,Decline
DEU,Europe,Germany,2022-07-17,29804895.0,675130.0,146656.0,960.0,1.07,1270.0,,64757825.0,63420287.0,57687937.0,11.11,83369840,11.86,675130.0,960.0,96447.14285714286,137.14285714285714,809.8012422717856,1.151495552828217,0.4920534026373856,11.476760763168121,77.67536197742493,76.0710192079054,69.19521136180661,Decline
DEU,Europe,Germany,2022-07-18,29804895.0,0.0,146656.0,0.0,1.06,1322.0,,64758504.0,63421224.0,57712525.0,11.11,83369840,,0.0,0.0,96447.14285714286,137.14285714285714,809.8012422717856,1.151495552828217,0.4920534026373856,11.476760763168121,77.67617642063365,76.07214311554394,69.22470404165342,Decline
DEU,Europe,Germany,2022-07-19,29804895.0,0.0,146656.0,0.0,1.05,1328.0,,64759525.0,63422817.0,57762133.0,11.11,83369840,,0.0,0.0,96447.14285714286,137.14285714285714,809.8012422717856,1.151495552828217,0.4920534026373856,11.476760763168121,77.67740108413305,76.07405387847692,69.28420757434583,Decline
DEU,Europe,Germany,2022-07-20,29804895.0,0.0,146656.0,0.0,1.03,1331.0,,64760501.0,63424318.0,57810473.0,11.11,83369840,,0.0,0.0,96447.14285714286,137.14285714285714,809.8012422717856,1.151495552828217,0.4920534026373856,11.476760763168121,77.67857177127844,76.07585428975274,69.34219017332886,Decline
DEU,Europe,Germany,2022-07-21,29804895.0,0.0,146656.0,0.0,1.01,1395.0,,64761756.0,63426105.0,57871425.0,11.11,83369840,,0.0,0.0,96447.14285714286,137.14285714285714,809.8012422717856,1.151495552828217,0.4920534026373856,11.476760763168121,77.68007711181886,76.07799775074535,69.41530054513719,Decline
DEU,Europe,Germany,2022-07-22,29804895.0,0.0,146656.0,0.0,1.0,1395.0,,64763804.0,63428269.0,57916275.0,11.11,83369840,,0.0,0.0,96447.14285714286,137.14285714285714,809.8012422717856,1.151495552828217,0.4920534026373856,11.476760763168121,77.68253363566488,76.08059341363736,69.46909697799587,Decline
DEU,Europe,Germany,2022-07-23,29804895.0,0.0,146656.0,0.0,0.98,1410.0,,64764356.0,63428951.0,57926091.0,11.11,83369840,,0.0,0.0,96447.14285714286,137.14285714285714,809.8012422717856,1.151495552828217,0.4920534026373856,11.476760763168121,77.68319574560778,76.08141145526967,69.48087102002354,Decline
DEU,Europe,Germany,2022-07-24,30432074.0,627179.0,147785.0,1129.0,0.96,1441.0,,64764728.0,63429466.0,57929451.0,11.11,83369840,20.52,627179.0,1129.0,89597.0,161.28571428571428,752.2852388825503,1.354206749107351,0.4856225047297138,11.403088277285324,77.68364195013449,76.08202918465479,69.48490125445844,Decline
DEU,Europe,Germany,2022-07-25,30432074.0,0.0,147785.0,0.0,0.95,1558.0,,64765304.0,63430361.0,57950248.0,11.11,83369840,,0.0,0.0,89597.0,161.28571428571428,752.2852388825503,1.354206749107351,0.4856225047297138,11.403088277285324,77.68433284746618,76.0831027143629,69.50984672634613,Decline
DEU,Europe,Germany,2022-07-26,30432074.0,0.0,147785.0,0.0,0.93,1621.0,,64766433.0,63432044.0,57998816.0,11.11,83369840,,0.0,0.0,89597.0,161.28571428571428,752.2852388825503,1.354206749107351,0.4856225047297138,11.403088277285324,77.6856870542153,76.08512143000394,69.56810280552295,Decline
DEU,Europe,Germany,2022-07-27,30432074.0,0.0,147785.0,0.0,0.91,1589.0,,64767492.0,63433601.0,58049219.0,11.11,83369840,,0.0,0.0,89597.0,161.28571428571428,752.2852388825503,1.354206749107351,0.4856225047297138,11.403088277285324,77.686957297747,76.08698901185369,69.62855992047004,Decline
DEU,Europe,Germany,2022-07-28,30432074.0,0.0,147785.0,0.0,0.89,1553.0,,64768465.0,63435166.0,58101960.0,11.11,83369840,,0.0,0.0,89597.0,161.28571428571428,752.2852388825503,1.354206749107351,0.4856225047297138,11.403088277285324,77.68812438646877,76.0888661894997,69.69182140687808,Decline
DEU,Europe,Germany,2022-07-29,30432074.0,0.0,147785.0,0.0,0.88,1495.0,,64769795.0,63436643.0,58140990.0,11.11,83369840,,0.0,0.0,89597.0,161.28571428571428,752.2852388825503,1.354206749107351,0.4856225047297138,11.403088277285324,77.68971968759925,76.0906378133867,69.73863689794774,Decline
DEU,Europe,Germany,2022-07-30,30432074.0,0.0,147785.0,0.0,0.87,1458.0,,64770271.0,63437351.0,58149359.0,11.11,83369840,,0.0,0.0,89597.0,161.28571428571428,752.2852388825503,1.354206749107351,0.4856225047297138,11.403088277285324,77.69029063747753,76.09148704135691,69.74867530032444,Decline
DEU,Europe,Germany,2022-07-31,30927803.0,495729.0,148823.0,1038.0,0.85,1446.0,,64770395.0,63437497.0,58151925.0,11.11,83369840,12.83,495729.0,1038.0,70818.42857142857,148.28571428571428,594.6143113624784,1.2450545664955095,0.48119486534494543,11.167888656887628,77.69043937231977,76.09166216463892,69.75175315197917,Decline
DEU,Europe,Germany,2022-08-01,30927803.0,0.0,148823.0,0.0,0.83,1470.0,,64771212.0,63438489.0,58169628.0,11.11,83369840,,0.0,0.0,70818.42857142857,148.28571428571428,594.6143113624784,1.2450545664955095,0.48119486534494543,11.167888656887628,77.69141934301422,76.09285204337684,69.77298744965805,Decline
DEU,Europe,Germany,2022-08-02,30927803.0,0.0,148823.0,0.0,0.82,1443.0,,64771993.0,63439673.0,58205956.0,11.11,83369840,,0.0,0.0,70818.42857142857,148.28571428571428,594.6143113624784,1.2450545664955095,0.48119486534494543,11.167888656887628,77.69235613262542,76.09427222122532,69.81656196053633,Decline
DEU,Europe,Germany,2022-08-03,30927803.0,0.0,148823.0,0.0,0.81,1396.0,,64772902.0,63441152.0,58245260.0,11.11,83369840,,0.0,0.0,70818.42857142857,148.28571428571428,594.6143113624784,1.2450545664955095,0.48119486534494543,11.167888656887628,77.69344645497699,76.0960462440614,69.86370610762836,Decline
DEU,Europe,Germany,2022-08-04,30927803.0,0.0,148823.0,0.0,0.8,1398.0,,64773784.0,63442446.0,58285747.0,11.11,83369840,,0.0,0.0,70818.42857142857,148.28571428571428,594.6143113624784,1.2450545664955095,0.48119486534494543,11.167888656887628,77.69450439151616,76.09759836410865,69.91226923309438,Decline
