week,new_cases_clean,new_deaths_clean,new_cases_7day,new_deaths_7day,incidence_7day_per_100k,cfr_percent,people_vaccinated_per_100,people_fully_vaccinated_per_100,boosters_per_100,hosp_patients,icu_patients,excess_mortality,wave
2021-01-03,122953.0,5744.0,19508.591836734693,818.6122448979593,163.80041374331876,2.849690125013067,0.3635595318402914,,,,5660.428571428572,36.11,Wave 2
2021-01-10,145505.0,5759.0,18024.95918367347,820.8775510204081,151.34335664517806,2.9692201187513887,0.8149229985328027,,,,5528.428571428572,25.96,Wave 2
2021-01-17,118929.0,5096.0,20244.061224489797,809.1836734693877,169.97565135236982,3.044234724677026,1.4427783476614564,0.02315465640812073,,,5127.142857142857,22.02,Wave 2
2021-01-24,95553.0,4107.0,16512.795918367345,707.8163265306122,138.64674734720785,3.1141091343611214,1.9588810533881316,0.32196895184157726,,,4803.428571428572,20.04,Wave 2
2021-01-31,78172.0,3102.0,13295.714285714286,566.204081632653,111.63509489762725,3.163713514507283,2.333365399285881,0.7220021053177025,,,4457.571428571428,11.58,Wave 2
2021-02-07,64596.0,2268.0,10890.367346938774,426.12244897959187,91.43902810485353,3.1894061445668456,2.8062306464783906,1.2652321271097557,,,4136.285714285715,3.67,Wave 2
2021-02-14,50827.0,1680.0,8947.0,312.0,75.12189060216501,3.197564467423574,3.344878675549815,1.7756181372064523,,,3668.0,-0.3,Wave 2
2021-02-21,52329.0,1478.0,7291.65306122449,235.87755102040816,61.223065113920605,3.1984060620271118,4.0323587042988205,2.1870307055884957,,,3210.5714285714284,-4.91,Wave 2
2021-02-28,56356.0,1227.0,7557.7551020408155,206.0204081632653,63.45734346411809,3.188024122091393,4.982311349044211,2.630635970993827,,,2923.4285714285716,-13.76,Wave 2
2021-03-07,58425.0,1049.0,8093.081632653061,171.6530612244898,67.9521172507605,3.1634161844922093,6.368705997276713,3.094058954653146,,,2809.714285714286,-18.03,Wave 3
2021-03-14,71391.0,1104.0,8611.04081632653,150.9795918367347,72.30106920474564,3.129669325815989,8.066988013890874,3.5654692392356755,,,2770.1428571428573,-15.44,Wave 3
2021-03-21,92610.0,1277.0,10631.755102040815,161.24489795918367,89.2676364909489,3.0834034594144835,9.268362515749102,4.119188665829274,,,2914.8571428571427,-12.82,Wave 3
2021-03-28,116309.0,1526.0,13713.653061224488,187.51020408163262,115.14424332417025,3.022166590018394,11.13901861872351,4.76401058224413,,,3280.5714285714284,-8.78,Wave 3
2021-04-04,110007.0,1590.0,16486.95918367347,219.30612244897958,138.42981381002326,2.952334996715149,12.811593497120782,5.433258598073356,,,3772.4285714285716,-5.23,Wave 3
2021-04-11,118188.0,1582.0,15882.244897959185,226.9795918367347,133.35243810677133,2.894200902764235,16.151655082941264,6.097321285491252,,,4439.428571428572,-1.13,Wave 3
2021-04-18,142021.0,1627.0,17370.38775510204,226.91836734693877,145.84736432949168,2.8306810874711585,20.038527122038378,6.668379116476654,,,4726.857142857143,3.22,Wave 3
2021-04-25,144678.0,1622.0,20342.938775510203,232.32653061224488,170.80585908353842,2.754929496402383,23.775759915096394,7.20393490019892,,,5009.857142857143,6.65,Wave 3
2021-05-02,124684.0,1307.0,20260.244897959183,225.28571428571428,170.11153468174373,2.6845698541250047,28.621533878438534,8.061909438713089,,,5046.285714285715,8.48,Wave 3
2021-05-09,100847.0,1010.0,17325.5306122449,180.65306122448982,145.47072932575412,2.626554948871075,33.28576017418289,9.53549269136177,,,4775.428571428572,10.06,Wave 3
2021-05-16,70746.0,676.0,13792.408163265307,137.46938775510202,115.80549649952206,2.5819522560808363,37.54060940982974,11.356111514667655,1.1994745341960594e-06,,4286.428571428572,4.17,Wave 3
2021-05-23,52670.0,448.0,9737.673469387755,91.91836734693878,81.76063944193041,2.550928862072588,40.833378113715945,14.26899343935409,1.1994745341960594e-06,,3618.0,2.36,Wave 3
2021-05-30,29867.0,261.0,7058.918367346939,60.183673469387756,59.26894974421034,2.5279214801830707,43.55603537202422,17.75584192077135,1.1994745341960594e-06,,2866.0,0.6,Wave 3
2021-06-06,20680.0,141.0,4079.224489795918,34.83673469387755,34.25048126345382,2.514929395054177,46.26580667541164,21.57274980976334,0.0016024979776859353,,2091.5714285714284,5.52,Wave 3
2021-06-13,14062.0,67.0,2819.224489795918,18.632653061224488,23.67111587184458,2.5050386669022235,49.23081416493063,26.57541384270379,0.0035468461976177475,,1528.4285714285713,2.1,Wave 3
2021-06-20,7285.0,47.0,1870.5510204081634,9.16326530612245,15.705748197258316,2.49793069516839,52.09532128165293,31.39065878020157,0.005967385807625396,,1085.5714285714287,15.01,Wave 3
2021-06-27,4859.0,30.0,991.2040816326531,6.36734693877551,8.322468378766917,2.4944698333897515,55.02940511820582,35.66105440528613,0.0069557528238029485,,783.7142857142857,1.58,Wave 3
2021-07-04,4388.0,25.0,684.530612244898,4.183673469387755,5.747539260857747,2.4920473905117424,57.8391466266458,39.16302706110507,0.007723416525688427,,602.7142857142857,-0.16,Outside defined waves
2021-07-11,5597.0,25.0,651.5306122448981,3.5714285714285716,5.470460643458456,2.4896707588931344,59.71661094707631,42.87798441258853,0.008676998780374293,,472.7142857142857,-3.3,Outside defined waves
2021-07-18,9113.0,30.0,871.3265306122448,3.673469387755102,7.315937891071536,2.486295497758543,61.087956987802784,46.66179160233485,0.013672810215300882,,393.85714285714283,4.74,Outside defined waves
2021-07-25,12646.0,40.0,1373.9591836734694,4.489795918367347,11.536203362887928,2.4807519212449427,62.04810876451244,49.77095434032259,0.014782324159432238,,360.14285714285717,1.96,Outside defined waves
2021-08-01,15522.0,72.0,1865.265306122449,6.36734693877551,15.661367639493061,2.473321339074048,62.85056322526228,52.63750056375302,0.016599528078739267,,359.85714285714283,-3.58,Outside defined waves
2021-08-08,20423.0,89.0,2317.448979591837,10.63265306122449,19.45804724723336,2.464667333704909,63.53119545389556,55.170524496628516,0.019522647518575062,,396.85714285714283,-2.8,Outside defined waves
2021-08-15,32077.0,144.0,3155.408163265306,13.83673469387755,26.49382215781767,2.4528909913819015,64.28648777543535,57.48293867422559,0.023736401557205817,,473.0,2.41,Outside defined waves
2021-08-22,49652.0,224.0,4941.102040816327,22.204081632653065,41.48708248176354,2.4348284251130465,65.16490615791034,59.08870641949176,0.030726939142500454,,627.7142857142857,3.07,Outside defined waves
2021-08-29,66371.0,351.0,7434.34693877551,34.59183673469388,62.42116882007759,2.4084633338205585,66.05711250015594,60.259294008480765,0.04303114891428363,,885.1428571428571,2.18,Outside defined waves
2021-09-05,74737.0,432.0,9652.306122448981,51.79591836734694,81.04386773099584,2.3764668717545883,66.83005269051733,61.180821505714775,0.126622529202407,,1176.5714285714287,2.36,Outside defined waves
2021-09-12,71656.0,449.0,10613.836734693878,62.06122448979592,89.11718811365974,2.343386782857748,67.48302503639205,62.00737820775475,0.2874036941896494,,1393.7142857142858,14.22,Outside defined waves
