iso_code,continent,location,date,total_cases,new_cases,total_deaths,new_deaths,reproduction_rate,icu_patients,hosp_patients,people_vaccinated,people_fully_vaccinated,total_boosters,stringency_index,population,excess_mortality,new_cases_clean,new_deaths_clean,new_cases_7day,new_deaths_7day,incidence_7day_per_100k,deaths_7day_per_100k,cfr_percent,new_cases_log,people_vaccinated_per_100,people_fully_vaccinated_per_100,boosters_per_100,wave
DEU,Europe,Germany,2022-10-07,33460480.0,0.0,153649.0,0.0,1.48,1385.0,,64819186.0,63505183.0,60261288.0,11.11,83369840,,0.0,0.0,65550.28571428571,125.71428571428571,550.3812889649303,1.0555375900925323,0.45919544489499253,11.090588103252513,77.74896293431773,76.17284979796051,72.28188035385459,Decline
DEU,Europe,Germany,2022-10-08,33460480.0,0.0,153649.0,0.0,1.44,1425.0,,64819612.0,63505714.0,60287884.0,11.11,83369840,,0.0,0.0,65550.28571428571,125.71428571428571,550.3812889649303,1.0555375900925323,0.45919544489499253,11.090588103252513,77.7494739104693,76.17348671893816,72.31378157856606,Decline
DEU,Europe,Germany,2022-10-09,34054553.0,594073.0,154933.0,1284.0,1.4,1477.0,,64819875.0,63505970.0,60295147.0,11.11,83369840,19.3,594073.0,1284.0,84867.57142857143,183.42857142857142,712.5754349534556,1.5401253019077403,0.45495531830941954,11.348859120355593,77.74978937227179,76.17379378441892,72.32249336210793,Decline
DEU,Europe,Germany,2022-10-10,34054553.0,0.0,154933.0,0.0,1.38,1606.0,,64820531.0,63506767.0,60344504.0,11.11,83369840,,0.0,0.0,84867.57142857143,183.42857142857142,712.5754349534556,1.5401253019077403,0.45495531830941954,11.348859120355593,77.75057622756623,76.17474976562268,72.38169582669224,Decline
DEU,Europe,Germany,2022-10-11,34054553.0,0.0,154933.0,0.0,1.33,1661.0,,64821482.0,63507778.0,60441729.0,11.11,83369840,,0.0,0.0,84867.57142857143,183.42857142857142,712.5754349534556,1.5401253019077403,0.45495531830941954,11.348859120355593,77.75171692784825,76.17596243437674,72.49831473827946,Decline
DEU,Europe,Germany,2022-10-12,34054553.0,0.0,154933.0,0.0,1.27,1669.0,,64822619.0,63508887.0,60546512.0,11.11,83369840,,0.0,0.0,84867.57142857143,183.42857142857142,712.5754349534556,1.5401253019077403,0.45495531830941954,11.348859120355593,77.75308073039363,76.17729265163517,72.62399927839613,Decline
DEU,Europe,Germany,2022-10-13,34054553.0,0.0,154933.0,0.0,1.22,1712.0,,64823771.0,63510138.0,60669138.0,11.11,83369840,,0.0,0.0,84867.57142857143,183.42857142857142,712.5754349534556,1.5401253019077403,0.45495531830941954,11.348859120355593,77.75446252505702,76.17879319427745,72.77108604262644,Decline
DEU,Europe,Germany,2022-10-14,34054553.0,0.0,154933.0,0.0,1.17,1685.0,,64825471.0,63511227.0,60774573.0,11.11,83369840,,0.0,0.0,84867.57142857143,183.42857142857142,712.5754349534556,1.5401253019077403,0.45495531830941954,11.348859120355593,77.75650163176515,76.18009942204519,72.89755264013941,Decline
DEU,Europe,Germany,2022-10-15,34054553.0,0.0,154933.0,0.0,1.14,1656.0,,64825964.0,63511792.0,60809463.0,11.11,83369840,,0.0,0.0,84867.57142857143,183.42857142857142,712.5754349534556,1.5401253019077403,0.45495531830941954,11.348859120355593,77.75709297271052,76.18077712515701,72.93940230663752,Decline
DEU,Europe,Germany,2022-10-16,34699539.0,644986.0,156493.0,1560.0,1.11,1705.0,,64826131.0,63511989.0,60819127.0,11.11,83369840,21.3,644986.0,1560.0,92140.85714285714,222.85714285714286,773.6442819129795,1.8711802733458527,0.4509944642204037,11.431084593950526,77.75729328495773,76.18101342164024,72.95099402853597,Decline
DEU,Europe,Germany,2022-10-17,34699539.0,0.0,156493.0,0.0,1.07,1786.0,,64826717.0,63512630.0,60877850.0,11.11,83369840,,0.0,0.0,92140.85714285714,222.85714285714286,773.6442819129795,1.8711802733458527,0.4509944642204037,11.431084593950526,77.75799617703476,76.18178228481666,73.02143077160757,Decline
DEU,Europe,Germany,2022-10-18,34699539.0,0.0,156493.0,0.0,1.04,1842.0,,64827574.0,63513652.0,60987401.0,11.11,83369840,,0.0,0.0,92140.85714285714,222.85714285714286,773.6442819129795,1.8711802733458527,0.4509944642204037,11.431084593950526,77.75902412671057,76.18300814779062,73.15283440630328,Decline
DEU,Europe,Germany,2022-10-19,34699539.0,0.0,156493.0,0.0,1.01,1821.0,,64828765.0,63514845.0,61107781.0,11.11,83369840,,0.0,0.0,92140.85714285714,222.85714285714286,773.6442819129795,1.8711802733458527,0.4509944642204037,11.431084593950526,77.7604527008808,76.18443912090991,73.29722715072981,Decline
DEU,Europe,Germany,2022-10-20,34699539.0,0.0,156493.0,0.0,0.97,1812.0,,64829800.0,63515885.0,61231639.0,11.11,83369840,,0.0,0.0,92140.85714285714,222.85714285714286,773.6442819129795,1.8711802733458527,0.4509944642204037,11.431084593950526,77.76169415702368,76.18568657442547,73.44579166758626,Decline
DEU,Europe,Germany,2022-10-21,34699539.0,0.0,156493.0,0.0,0.95,1762.0,,64831071.0,63516956.0,61343451.0,11.11,83369840,,0.0,0.0,92140.85714285714,222.85714285714286,773.6442819129795,1.8711802733458527,0.4509944642204037,11.431084593950526,77.76321868915666,76.1869712116516,73.5799073142038,Decline
DEU,Europe,Germany,2022-10-22,34699539.0,0.0,156493.0,0.0,0.93,1752.0,,64831444.0,63517330.0,61376285.0,11.11,83369840,,0.0,0.0,92140.85714285714,222.85714285714286,773.6442819129795,1.8711802733458527,0.4509944642204037,11.431084593950526,77.76366609315791,76.18741981512738,73.61929086105958,Decline
DEU,Europe,Germany,2022-10-23,35244155.0,544616.0,157970.0,1477.0,0.9,1741.0,,64831501.0,63517417.0,61384005.0,11.11,83369840,22.11,544616.0,1477.0,77802.28571428571,211.0,653.2530229157211,1.7716238870075796,0.4482161652052659,11.261938942106138,77.76373446320636,76.18752416941187,73.62855080446357,Decline
DEU,Europe,Germany,2022-10-24,35244155.0,0.0,157970.0,0.0,0.88,1774.0,,64832351.0,63518001.0,61453634.0,11.11,83369840,,0.0,0.0,77802.28571428571,211.0,653.2530229157211,1.7716238870075796,0.4482161652052659,11.261938942106138,77.76475401656042,76.18822466253984,73.71206901680512,Decline
DEU,Europe,Germany,2022-10-25,35244155.0,0.0,157970.0,0.0,0.85,1773.0,,64833195.0,63518929.0,61560798.0,11.11,83369840,,0.0,0.0,77802.28571428571,211.0,653.2530229157211,1.7716238870075796,0.4482161652052659,11.261938942106138,77.7657663730673,76.18933777490757,73.8406095057877,Decline
DEU,Europe,Germany,2022-10-26,35244155.0,0.0,157970.0,0.0,0.82,1727.0,,64834171.0,63519746.0,61656996.0,11.11,83369840,,0.0,0.0,77802.28571428571,211.0,653.2530229157211,1.7716238870075796,0.4482161652052659,11.261938942106138,77.76693706021265,76.19031774560202,73.95599655702829,Decline
DEU,Europe,Germany,2022-10-27,35244155.0,0.0,157970.0,0.0,0.79,1685.0,,64835119.0,63520901.0,61787018.0,11.11,83369840,,0.0,0.0,77802.28571428571,211.0,653.2530229157211,1.7716238870075796,0.4482161652052659,11.261938942106138,77.76807416207107,76.19170313868901,74.11195463491353,Decline
DEU,Europe,Germany,2022-10-28,35244155.0,0.0,157970.0,0.0,0.78,1643.0,,64836545.0,63521884.0,61884785.0,11.11,83369840,,0.0,0.0,77802.28571428571,211.0,653.2530229157211,1.7716238870075796,0.4482161652052659,11.261938942106138,77.76978461275684,76.19288222215613,74.22922366169828,Decline
DEU,Europe,Germany,2022-10-29,35244155.0,0.0,157970.0,0.0,0.77,1592.0,,64836917.0,63522230.0,61909073.0,11.11,83369840,,0.0,0.0,77802.28571428571,211.0,653.2530229157211,1.7716238870075796,0.4482161652052659,11.261938942106138,77.77023081728358,76.19329724034495,74.25835649918484,Decline
DEU,Europe,Germany,2022-10-30,35618058.0,373903.0,159019.0,1049.0,0.75,1585.0,,64836955.0,63522300.0,61914671.0,11.11,83369840,19.95,373903.0,1049.0,53414.71428571428,149.85714285714286,448.4871267595092,1.2582487863716663,0.44645612065655016,10.885860256671263,77.77027639731587,76.19338120356234,74.26507115762728,Decline
DEU,Europe,Germany,2022-10-31,35618058.0,0.0,159019.0,0.0,0.73,1584.0,,64837302.0,63522661.0,61944028.0,11.11,83369840,,0.0,0.0,53414.71428571428,149.85714285714286,448.4871267595092,1.2582487863716663,0.44645612065655016,10.885860256671263,77.77069261497923,76.19381421386919,74.30028413152766,Decline
DEU,Europe,Germany,2022-11-01,35618058.0,0.0,159019.0,0.0,0.71,1583.0,,64837783.0,63523177.0,61987306.0,11.11,83369840,,0.0,0.0,53414.71428571428,149.85714285714286,448.4871267595092,1.2582487863716663,0.44645612065655016,10.885860256671263,77.77126956223019,76.19443314272884,74.3521949904186,Decline
DEU,Europe,Germany,2022-11-02,35618058.0,0.0,159019.0,0.0,0.71,1557.0,,64838620.0,63524079.0,62075273.0,11.11,83369840,,0.0,0.0,53414.71428571428,149.85714285714286,448.4871267595092,1.2582487863716663,0.44645612065655016,10.885860256671263,77.7722735224153,76.19551506875868,74.45770916676823,Decline
DEU,Europe,Germany,2022-11-03,35618058.0,0.0,159019.0,0.0,0.75,1485.0,,64839740.0,63525298.0,62190189.0,11.11,83369840,,0.0,0.0,53414.71428571428,149.85714285714286,448.4871267595092,1.2582487863716663,0.44645612065655016,10.885860256671263,77.77361693389359,76.19697722821587,74.5955479823399,Decline
DEU,Europe,Germany,2022-11-04,35618058.0,0.0,159019.0,0.0,0.77,1418.0,,64840645.0,63526237.0,62276461.0,11.11,83369840,,0.0,0.0,53414.71428571428,149.85714285714286,448.4871267595092,1.2582487863716663,0.44645612065655016,10.885860256671263,77.77470245834705,76.19810353480348,74.69902904935407,Decline
DEU,Europe,Germany,2022-11-05,35618058.0,0.0,159019.0,0.0,0.78,1349.0,,64840973.0,63526643.0,62296669.0,11.11,83369840,,0.0,0.0,53414.71428571428,149.85714285714286,448.4871267595092,1.2582487863716663,0.44645612065655016,10.885860256671263,77.77509588599426,76.19859052146435,74.7232680307411,Decline
DEU,Europe,Germany,2022-11-06,35861636.0,243578.0,159717.0,698.0,0.78,1343.0,,64841084.0,63526754.0,62303050.0,11.11,83369840,11.97,243578.0,698.0,34796.857142857145,99.71428571428571,292.1656080904078,0.8372332248688494,0.4453700885257995,10.457311087511984,77.77522902766756,76.19872366313766,74.7309218777438,Decline
DEU,Europe,Germany,2022-11-07,35861636.0,0.0,159717.0,0.0,0.77,1311.0,,64841593.0,63527217.0,62350060.0,11.11,83369840,,0.0,0.0,34796.857142857145,99.71428571428571,292.1656080904078,0.8372332248688494,0.4453700885257995,10.457311087511984,77.77583956020547,76.19927901984698,74.78730917559635,Decline
DEU,Europe,Germany,2022-11-08,35861636.0,0.0,159717.0,0.0,0.77,1287.0,,64842875.0,63528212.0,62455853.0,11.11,83369840,,0.0,0.0,34796.857142857145,99.71428571428571,292.1656080904078,0.8372332248688494,0.4453700885257995,10.457311087511984,77.7773772865583,76.2004724970085,74.91420518499255,Decline
DEU,Europe,Germany,2022-11-09,35861636.0,0.0,159717.0,0.0,0.76,1222.0,,64843844.0,63529013.0,62560702.0,11.11,83369840,,0.0,0.0,34796.857142857145,99.71428571428571,292.1656080904078,0.8372332248688494,0.4453700885257995,10.457311087511984,77.77853957738195,76.2014332761104,75.03996889042848,Decline
DEU,Europe,Germany,2022-11-10,35861636.0,0.0,159717.0,0.0,0.76,1189.0,,64845052.0,63529963.0,62674220.0,11.11,83369840,,0.0,0.0,34796.857142857145,99.71428571428571,292.1656080904078,0.8372332248688494,0.4453700885257995,10.457311087511984,77.77998854261925,76.20257277691789,75.17613084060135,Decline
